User ID,Gender,Age,EstimatedSalary,Purchased
15624510,Male,19,19000,not-purchased
15810944,Male,35,20000,not-purchased
15668575,Female,26,43000,not-purchased
15603246,Female,27,57000,not-purchased
15804002,Male,19,76000,not-purchased
15728773,Male,27,58000,not-purchased
15598044,Female,27,84000,not-purchased
15694829,Female,32,150000,purchased
15600575,Male,25,33000,not-purchased
15727311,Female,35,65000,not-purchased
15570769,Female,26,80000,not-purchased
15606274,Female,26,52000,not-purchased
15746139,Male,20,86000,not-purchased
15704987,Male,32,18000,not-purchased
15628972,Male,18,82000,not-purchased
15697686,Male,29,80000,not-purchased
15733883,Male,47,25000,purchased
15617482,Male,45,26000,purchased
15704583,Male,46,28000,purchased
15621083,Female,48,29000,purchased
15649487,Male,45,22000,purchased
15736760,Female,47,49000,purchased
15714658,Male,48,41000,purchased
15599081,Female,45,22000,purchased
15705113,Male,46,23000,purchased
15631159,Male,47,20000,purchased
15792818,Male,49,28000,purchased
15633531,Female,47,30000,purchased
15744529,Male,29,43000,not-purchased
15669656,Male,31,18000,not-purchased
15581198,Male,31,74000,not-purchased
15729054,Female,27,137000,purchased
15573452,Female,21,16000,not-purchased
15776733,Female,28,44000,not-purchased
15724858,Male,27,90000,not-purchased
15713144,Male,35,27000,not-purchased
15690188,Female,33,28000,not-purchased
15689425,Male,30,49000,not-purchased
15671766,Female,26,72000,not-purchased
15782806,Female,27,31000,not-purchased
15764419,Female,27,17000,not-purchased
15591915,Female,33,51000,not-purchased
15772798,Male,35,108000,not-purchased
15792008,Male,30,15000,not-purchased
15715541,Female,28,84000,not-purchased
15639277,Male,23,20000,not-purchased
15798850,Male,25,79000,not-purchased
15776348,Female,27,54000,not-purchased
15727696,Male,30,135000,purchased
15793813,Female,31,89000,not-purchased
15694395,Female,24,32000,not-purchased
15764195,Female,18,44000,not-purchased
15744919,Female,29,83000,not-purchased
15671655,Female,35,23000,not-purchased
15654901,Female,27,58000,not-purchased
15649136,Female,24,55000,not-purchased
15775562,Female,23,48000,not-purchased
15807481,Male,28,79000,not-purchased
15642885,Male,22,18000,not-purchased
15789109,Female,32,117000,not-purchased
15814004,Male,27,20000,not-purchased
15673619,Male,25,87000,not-purchased
15595135,Female,23,66000,not-purchased
15583681,Male,32,120000,purchased
15605000,Female,59,83000,not-purchased
15718071,Male,24,58000,not-purchased
15679760,Male,24,19000,not-purchased
15654574,Female,23,82000,not-purchased
15577178,Female,22,63000,not-purchased
15595324,Female,31,68000,not-purchased
15756932,Male,25,80000,not-purchased
15726358,Female,24,27000,not-purchased
15595228,Female,20,23000,not-purchased
15782530,Female,33,113000,not-purchased
15592877,Male,32,18000,not-purchased
15651983,Male,34,112000,purchased
15746737,Male,18,52000,not-purchased
15774179,Female,22,27000,not-purchased
15667265,Female,28,87000,not-purchased
15655123,Female,26,17000,not-purchased
15595917,Male,30,80000,not-purchased
15668385,Male,39,42000,not-purchased
15709476,Male,20,49000,not-purchased
15711218,Male,35,88000,not-purchased
15798659,Female,30,62000,not-purchased
15663939,Female,31,118000,purchased
15694946,Male,24,55000,not-purchased
15631912,Female,28,85000,not-purchased
15768816,Male,26,81000,not-purchased
15682268,Male,35,50000,not-purchased
15684801,Male,22,81000,not-purchased
15636428,Female,30,116000,not-purchased
15809823,Male,26,15000,not-purchased
15699284,Female,29,28000,not-purchased
15786993,Female,29,83000,not-purchased
15709441,Female,35,44000,not-purchased
15710257,Female,35,25000,not-purchased
15582492,Male,28,123000,purchased
15575694,Male,35,73000,not-purchased
15756820,Female,28,37000,not-purchased
15766289,Male,27,88000,not-purchased
15593014,Male,28,59000,not-purchased
15584545,Female,32,86000,not-purchased
15675949,Female,33,149000,purchased
15672091,Female,19,21000,not-purchased
15801658,Male,21,72000,not-purchased
15706185,Female,26,35000,not-purchased
15789863,Male,27,89000,not-purchased
15720943,Male,26,86000,not-purchased
15697997,Female,38,80000,not-purchased
15665416,Female,39,71000,not-purchased
15660200,Female,37,71000,not-purchased
15619653,Male,38,61000,not-purchased
15773447,Male,37,55000,not-purchased
15739160,Male,42,80000,not-purchased
15689237,Male,40,57000,not-purchased
15679297,Male,35,75000,not-purchased
15591433,Male,36,52000,not-purchased
15642725,Male,40,59000,not-purchased
15701962,Male,41,59000,not-purchased
15811613,Female,36,75000,not-purchased
15741049,Male,37,72000,not-purchased
15724423,Female,40,75000,not-purchased
15574305,Male,35,53000,not-purchased
15678168,Female,41,51000,not-purchased
15697020,Female,39,61000,not-purchased
15610801,Male,42,65000,not-purchased
15745232,Male,26,32000,not-purchased
15722758,Male,30,17000,not-purchased
15792102,Female,26,84000,not-purchased
15675185,Male,31,58000,not-purchased
15801247,Male,33,31000,not-purchased
15725660,Male,30,87000,not-purchased
15638963,Female,21,68000,not-purchased
15800061,Female,28,55000,not-purchased
15578006,Male,23,63000,not-purchased
15668504,Female,20,82000,not-purchased
15687491,Male,30,107000,purchased
15610403,Female,28,59000,not-purchased
15741094,Male,19,25000,not-purchased
15807909,Male,19,85000,not-purchased
15666141,Female,18,68000,not-purchased
15617134,Male,35,59000,not-purchased
15783029,Male,30,89000,not-purchased
15622833,Female,34,25000,not-purchased
15746422,Female,24,89000,not-purchased
15750839,Female,27,96000,purchased
15749130,Female,41,30000,not-purchased
15779862,Male,29,61000,not-purchased
15767871,Male,20,74000,not-purchased
15679651,Female,26,15000,not-purchased
15576219,Male,41,45000,not-purchased
15699247,Male,31,76000,not-purchased
15619087,Female,36,50000,not-purchased
15605327,Male,40,47000,not-purchased
15610140,Female,31,15000,not-purchased
15791174,Male,46,59000,not-purchased
15602373,Male,29,75000,not-purchased
15762605,Male,26,30000,not-purchased
15598840,Female,32,135000,purchased
15744279,Male,32,100000,purchased
15670619,Male,25,90000,not-purchased
15599533,Female,37,33000,not-purchased
15757837,Male,35,38000,not-purchased
15697574,Female,33,69000,not-purchased
15578738,Female,18,86000,not-purchased
15762228,Female,22,55000,not-purchased
15614827,Female,35,71000,not-purchased
15789815,Male,29,148000,purchased
15579781,Female,29,47000,not-purchased
15587013,Male,21,88000,not-purchased
15570932,Male,34,115000,not-purchased
15794661,Female,26,118000,not-purchased
15581654,Female,34,43000,not-purchased
15644296,Female,34,72000,not-purchased
15614420,Female,23,28000,not-purchased
15609653,Female,35,47000,not-purchased
15594577,Male,25,22000,not-purchased
15584114,Male,24,23000,not-purchased
15673367,Female,31,34000,not-purchased
15685576,Male,26,16000,not-purchased
15774727,Female,31,71000,not-purchased
15694288,Female,32,117000,purchased
15603319,Male,33,43000,not-purchased
15759066,Female,33,60000,not-purchased
15814816,Male,31,66000,not-purchased
15724402,Female,20,82000,not-purchased
15571059,Female,33,41000,not-purchased
15674206,Male,35,72000,not-purchased
15715160,Male,28,32000,not-purchased
15730448,Male,24,84000,not-purchased
15662067,Female,19,26000,not-purchased
15779581,Male,29,43000,not-purchased
15662901,Male,19,70000,not-purchased
15689751,Male,28,89000,not-purchased
15667742,Male,34,43000,not-purchased
15738448,Female,30,79000,not-purchased
15680243,Female,20,36000,not-purchased
15745083,Male,26,80000,not-purchased
15708228,Male,35,22000,not-purchased
15628523,Male,35,39000,not-purchased
15708196,Male,49,74000,not-purchased
15735549,Female,39,134000,purchased
15809347,Female,41,71000,not-purchased
15660866,Female,58,101000,purchased
15766609,Female,47,47000,not-purchased
15654230,Female,55,130000,purchased
15794566,Female,52,114000,not-purchased
15800890,Female,40,142000,purchased
15697424,Female,46,22000,not-purchased
15724536,Female,48,96000,purchased
15735878,Male,52,150000,purchased
15707596,Female,59,42000,not-purchased
15657163,Male,35,58000,not-purchased
15622478,Male,47,43000,not-purchased
15779529,Female,60,108000,purchased
15636023,Male,49,65000,not-purchased
15582066,Male,40,78000,not-purchased
15666675,Female,46,96000,not-purchased
15732987,Male,59,143000,purchased
15789432,Female,41,80000,not-purchased
15663161,Male,35,91000,purchased
15694879,Male,37,144000,purchased
15593715,Male,60,102000,purchased
15575002,Female,35,60000,not-purchased
15622171,Male,37,53000,not-purchased
15795224,Female,36,126000,purchased
15685346,Male,56,133000,purchased
15691808,Female,40,72000,not-purchased
15721007,Female,42,80000,purchased
15794253,Female,35,147000,purchased
15694453,Male,39,42000,not-purchased
15813113,Male,40,107000,purchased
15614187,Male,49,86000,purchased
15619407,Female,38,112000,not-purchased
15646227,Male,46,79000,purchased
15660541,Male,40,57000,not-purchased
15753874,Female,37,80000,not-purchased
15617877,Female,46,82000,not-purchased
15772073,Female,53,143000,purchased
15701537,Male,42,149000,purchased
15736228,Male,38,59000,not-purchased
15780572,Female,50,88000,purchased
15769596,Female,56,104000,purchased
15586996,Female,41,72000,not-purchased
15722061,Female,51,146000,purchased
15638003,Female,35,50000,not-purchased
15775590,Female,57,122000,purchased
15730688,Male,41,52000,not-purchased
15753102,Female,35,97000,purchased
15810075,Female,44,39000,not-purchased
15723373,Male,37,52000,not-purchased
15795298,Female,48,134000,purchased
15584320,Female,37,146000,purchased
15724161,Female,50,44000,not-purchased
15750056,Female,52,90000,purchased
15609637,Female,41,72000,not-purchased
15794493,Male,40,57000,not-purchased
15569641,Female,58,95000,purchased
15815236,Female,45,131000,purchased
15811177,Female,35,77000,not-purchased
15680587,Male,36,144000,purchased
15672821,Female,55,125000,purchased
15767681,Female,35,72000,not-purchased
15600379,Male,48,90000,purchased
15801336,Female,42,108000,purchased
15721592,Male,40,75000,not-purchased
15581282,Male,37,74000,not-purchased
15746203,Female,47,144000,purchased
15583137,Male,40,61000,not-purchased
15680752,Female,43,133000,not-purchased
15688172,Female,59,76000,purchased
15791373,Male,60,42000,purchased
15589449,Male,39,106000,purchased
15692819,Female,57,26000,purchased
15727467,Male,57,74000,purchased
15734312,Male,38,71000,not-purchased
15764604,Male,49,88000,purchased
15613014,Female,52,38000,purchased
15759684,Female,50,36000,purchased
15609669,Female,59,88000,purchased
15685536,Male,35,61000,not-purchased
15750447,Male,37,70000,purchased
15663249,Female,52,21000,purchased
15638646,Male,48,141000,not-purchased
15734161,Female,37,93000,purchased
15631070,Female,37,62000,not-purchased
15761950,Female,48,138000,purchased
