total_bill,tip,gender,smoker,day,time,size
2125.5,360.79,Male,No,Thur,Lunch,1
2727.18,259.42,Female,No,Sun,Dinner,5
1066.02,274.68,Female,Yes,Thur,Dinner,4
3493.45,337.9,Female,No,Sun,Dinner,1
3470.56,567.89,Male,Yes,Sun,Lunch,6
2411.08,296.48,Female,Yes,Thur,Lunch,2
4607.43,374.96,Female,No,Thur,Dinner,4
1165.21,700.87,Female,No,Mon,Dinner,2
2895.04,347.71,Male,No,Sat,Dinner,5
2622.54,253.97,Male,Yes,Thur,Lunch,6
2572.4,499.22,Male,No,Wed,Lunch,2
1602.3,336.81,Male,Yes,Wed,Lunch,1
1888.97,451.26,Female,No,Tues,Lunch,3
2643.25,541.73,Male,No,Sun,Dinner,6
1899.87,213.64,Male,Yes,Fri,Dinner,4
2358.76,156.96,Female,Yes,Mon,Lunch,1
3374.64,401.12,Male,Yes,Tues,Lunch,1
2353.31,555.9,Male,Yes,Sun,Lunch,4
2655.24,276.86,Female,Yes,Mon,Dinner,1
3660.22,151.51,Female,Yes,Sat,Lunch,6
614.76,510.12,Female,Yes,Sun,Dinner,4
2536.43,330.27,Female,Yes,Thur,Dinner,1
3305.97,352.07,Female,No,Sat,Lunch,4
1767.98,279.04,Male,Yes,Tues,Lunch,6
2691.21,415.29,Female,Yes,Thur,Lunch,1
1721.11,408.75,Female,Yes,Fri,Lunch,5
2451.41,395.67,Female,No,Sat,Dinner,3
2290.09,131.89,Female,Yes,Mon,Lunch,4
257.24,525.38,Female,No,Sat,Dinner,3
3617.71,301.93,Male,No,Sun,Lunch,1
2118.96,475.24,Male,Yes,Sat,Dinner,6
1157.58,421.83,Male,Yes,Wed,Dinner,1
1305.82,676.89,Female,No,Thur,Lunch,1
1085.64,737.93,Female,Yes,Sat,Dinner,2
1739.64,229.99,Male,No,Wed,Dinner,3
1406.1,176.58,Female,No,Mon,Lunch,1
2483.02,386.95,Female,Yes,Sat,Dinner,1
2580.03,591.87,Male,No,Thur,Dinner,2
1366.86,468.7,Female,Yes,Mon,Lunch,4
2510.27,370.6,Female,Yes,Wed,Dinner,5
